Kennziffer;RS;Raumeinheit;Aggregat;Siedlung;Stadt_Land;Raumordnung;dutch
09172;9172;Berchtesgadener Land;Landkreis;3,0;2,0;916,0;6
09173;9173;Bad Tölz-Wolfratshausen;Landkreis;4,0;2,0;913,0;3
09174;9174;Dachau;Landkreis;2,0;1,0;910,0;6
09175;9175;Ebersberg;Landkreis;2,0;1,0;910,0;5
09176;9176;Eichstätt;Landkreis;3,0;2,0;907,0;1
09177;9177;Erding;Landkreis;3,0;2,0;910,0;1
09178;9178;Freising;Landkreis;2,0;1,0;910,0;5
09179;9179;Fürstenfeldbruck;Landkreis;2,0;1,0;910,0;5
09180;9180;Garmisch-Partenkirchen;Landkreis;4,0;2,0;913,0;9
09181;9181;Landsberg am Lech;Landkreis;3,0;2,0;910,0;1
09182;9182;Miesbach;Landkreis;3,0;2,0;913,0;3
09183;9183;Mühldorf a.Inn;Landkreis;3,0;2,0;916,0;2
09184;9184;München;Landkreis;2,0;1,0;910,0;5
09185;9185;Neuburg-Schrobenhausen;Landkreis;4,0;2,0;907,0;1
09186;9186;Pfaffenhofen a.d.Ilm;Landkreis;3,0;2,0;907,0;1
09187;9187;Rosenheim;Landkreis;2,0;1,0;916,0;9
09188;9188;Starnberg;Landkreis;2,0;1,0;910,0;8
09189;9189;Traunstein;Landkreis;3,0;2,0;916,0;3
09190;9190;Weilheim-Schongau;Landkreis;3,0;2,0;913,0;5
09261;9261;Landshut, Stadt;krsfr. Stadt;3,0;2,0;908,0;10
09262;9262;Passau, Stadt;krsfr. Stadt;3,0;2,0;905,0;10
09263;9263;Straubing, Stadt;krsfr. Stadt;4,0;2,0;905,0;10
09271;9271;Deggendorf;Landkreis;4,0;2,0;905,0;9
09272;9272;Freyung-Grafenau;Landkreis;4,0;2,0;905,0;7
09273;9273;Kelheim;Landkreis;3,0;2,0;915,0;1
09274;9274;Landshut;Landkreis;3,0;2,0;908,0;1
09275;9275;Passau;Landkreis;3,0;2,0;905,0;7
09276;9276;Regen;Landkreis;4,0;2,0;905,0;7
09277;9277;Rottal-Inn;Landkreis;4,0;2,0;908,0;7
09278;9278;Straubing-Bogen;Landkreis;4,0;2,0;905,0;1
09279;9279;Dingolfing-Landau;Landkreis;3,0;2,0;908,0;1
09361;9361;Amberg, Stadt;krsfr. Stadt;4,0;2,0;914,0;10
09362;9362;Regensburg, Stadt;krsfr. Stadt;1,0;1,0;915,0;10
09363;9363;Weiden i.d.OPf., Stadt;krsfr. Stadt;4,0;2,0;914,0;10
09371;9371;Amberg-Sulzbach;Landkreis;4,0;2,0;914,0;7
09372;9372;Cham;Landkreis;4,0;2,0;915,0;7
09373;9373;Neumarkt i.d.OPf.;Landkreis;4,0;2,0;915,0;7
09374;9374;Neustadt a.d.Waldnaab;Landkreis;4,0;2,0;914,0;7
09375;9375;Regensburg;Landkreis;3,0;2,0;915,0;1
09376;9376;Schwandorf;Landkreis;4,0;2,0;914,0;7
09377;9377;Tirschenreuth;Landkreis;4,0;2,0;914,0;7
09461;9461;Bamberg, Stadt;krsfr. Stadt;3,0;2,0;912,0;10
09462;9462;Bayreuth, Stadt;krsfr. Stadt;4,0;2,0;911,0;10
09463;9463;Coburg, Stadt;krsfr. Stadt;3,0;2,0;912,0;10
09464;9464;Hof, Stadt;krsfr. Stadt;3,0;2,0;911,0;8
09471;9471;Bamberg;Landkreis;3,0;2,0;912,0;1
09472;9472;Bayreuth;Landkreis;4,0;2,0;911,0;7
09473;9473;Coburg;Landkreis;3,0;2,0;912,0;1
09474;9474;Forchheim;Landkreis;3,0;2,0;912,0;5
09475;9475;Hof;Landkreis;3,0;2,0;911,0;2
09476;9476;Kronach;Landkreis;3,0;2,0;912,0;1
09477;9477;Kulmbach;Landkreis;4,0;2,0;911,0;3
09478;9478;Lichtenfels;Landkreis;3,0;2,0;912,0;9
09479;9479;Wunsiedel i.Fichtelgebirge;Landkreis;3,0;2,0;911,0;2
09561;9561;Ansbach, Stadt;krsfr. Stadt;4,0;2,0;917,0;10
09562;9562;Erlangen, Stadt;krsfr. Stadt;1,0;1,0;906,0;10
09563;9563;Fürth, Stadt;krsfr. Stadt;1,0;1,0;906,0;8
09564;9564;Nürnberg, Stadt;krsfr. Stadt;1,0;1,0;906,0;8
09565;9565;Schwabach, Stadt;krsfr. Stadt;3,0;2,0;906,0;6
09571;9571;Ansbach;Landkreis;4,0;2,0;917,0;1
09572;9572;Erlangen-Höchstadt;Landkreis;2,0;1,0;906,0;5
09573;9573;Fürth;Landkreis;2,0;1,0;906,0;5
