Kennziffer;RS;Raumeinheit;Aggregat;Siedlung;Stadt_Land;Raumordnung;dutch
05966;5966;Olpe;Landkreis;2,0;1,0;513,0;5
05970;5970;Siegen-Wittgenstein;Landkreis;2,0;1,0;513,0;6
05974;5974;Soest;Landkreis;2,0;1,0;502,0;6
05978;5978;Unna;Landkreis;2,0;1,0;506,0;6
06411;6411;Darmstadt, Stadt;krsfr. Stadt;1,0;1,0;605,0;8
06412;6412;Frankfurt am Main, Stadt;krsfr. Stadt;1,0;1,0;604,0;8
06413;6413;Offenbach am Main, Stadt;krsfr. Stadt;1,0;1,0;604,0;8
06414;6414;Wiesbaden, Stadt;krsfr. Stadt;1,0;1,0;604,0;8
06431;6431;Bergstraße;Landkreis;2,0;1,0;605,0;5
06432;6432;Darmstadt-Dieburg;Landkreis;2,0;1,0;605,0;5
06433;6433;Groß-Gerau;Landkreis;2,0;1,0;605,0;5
06434;6434;Hochtaunuskreis;Landkreis;2,0;1,0;604,0;6
06435;6435;Main-Kinzig-Kreis;Landkreis;2,0;1,0;604,0;5
06436;6436;Main-Taunus-Kreis;Landkreis;2,0;1,0;604,0;5
06437;6437;Odenwaldkreis;Landkreis;2,0;1,0;605,0;2
06438;6438;Offenbach;Landkreis;2,0;1,0;604,0;5
06439;6439;Rheingau-Taunus-Kreis;Landkreis;2,0;1,0;604,0;5
06440;6440;Wetteraukreis;Landkreis;2,0;1,0;604,0;5
06531;6531;Gießen;Landkreis;2,0;1,0;601,0;8
06532;6532;Lahn-Dill-Kreis;Landkreis;2,0;1,0;601,0;6
06533;6533;Limburg-Weilburg;Landkreis;2,0;1,0;601,0;6
06534;6534;Marburg-Biedenkopf;Landkreis;3,0;2,0;601,0;8
06535;6535;Vogelsbergkreis;Landkreis;4,0;2,0;601,0;7
06611;6611;Kassel, Stadt;krsfr. Stadt;1,0;1,0;602,0;10
06631;6631;Fulda;Landkreis;3,0;2,0;603,0;3
06632;6632;Hersfeld-Rotenburg;Landkreis;4,0;2,0;603,0;3
06633;6633;Kassel;Landkreis;2,0;1,0;602,0;2
06634;6634;Schwalm-Eder-Kreis;Landkreis;3,0;2,0;602,0;2
06635;6635;Waldeck-Frankenberg;Landkreis;4,0;2,0;602,0;9
